scenario,alpha_c,alpha_s,theta_f,cost_L3_minus_L4,analytic_0p25_alpha_s_minus_alpha_c,L3_pareto_efficient,pareto_members
evidence_tradeoff,0.0,0.0,1.0,0.0,0.0,False,F_fast
evidence_tradeoff,0.0,0.25,1.0,0.0625,0.0625,False,"L4,F_fast"
evidence_tradeoff,0.0,0.5,1.0,0.125,0.125,False,"L4,F_fast"
evidence_tradeoff,0.0,0.75,1.0,0.1875,0.1875,False,"L4,F_fast"
evidence_tradeoff,0.0,1.0,1.0,0.25,0.25,False,"L4,F_fast"
evidence_tradeoff,0.25,0.0,1.0,-0.0625,-0.0625,False,"L0,L1,F_fast"
evidence_tradeoff,0.25,0.25,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
evidence_tradeoff,0.25,0.5,1.0,0.0625,0.0625,False,"L4,F_fast"
evidence_tradeoff,0.25,0.75,1.0,0.125,0.125,False,"L4,F_fast"
evidence_tradeoff,0.25,1.0,1.0,0.1875,0.1875,False,"L4,F_fast"
evidence_tradeoff,0.5,0.0,1.0,-0.125,-0.125,False,"L0,L1,F_fast"
evidence_tradeoff,0.5,0.25,1.0,-0.0625,-0.0625,True,"L0,L1,L2,L3,L4,F_fast"
evidence_tradeoff,0.5,0.5,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
evidence_tradeoff,0.5,0.75,1.0,0.0625,0.0625,False,"L4,F_fast"
evidence_tradeoff,0.5,1.0,1.0,0.125,0.125,False,"L4,F_fast"
evidence_tradeoff,0.75,0.0,1.0,-0.1875,-0.1875,False,"L0,L1,F_fast"
evidence_tradeoff,0.75,0.25,1.0,-0.125,-0.125,True,"L0,L1,L2,L3,L4,F_fast"
evidence_tradeoff,0.75,0.5,1.0,-0.0625,-0.0625,True,"L0,L1,L2,L3,L4,F_fast"
evidence_tradeoff,0.75,0.75,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
evidence_tradeoff,0.75,1.0,1.0,0.0625,0.0625,False,"L4,F_fast"
evidence_tradeoff,1.0,0.0,1.0,-0.25,-0.25,False,"L0,L1,F_fast"
evidence_tradeoff,1.0,0.25,1.0,-0.1875,-0.1875,True,"L0,L1,L2,L3,F_fast"
evidence_tradeoff,1.0,0.5,1.0,-0.125,-0.125,True,"L0,L1,L2,L3,L4,F_fast"
evidence_tradeoff,1.0,0.75,1.0,-0.0625,-0.0625,True,"L0,L1,L2,L3,L4,F_fast"
evidence_tradeoff,1.0,1.0,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
boundary_tradeoff,0.0,0.0,1.0,0.0,0.0,False,F_fast
boundary_tradeoff,0.0,0.25,1.0,0.0625,0.0625,False,"L4,F_fast"
boundary_tradeoff,0.0,0.5,1.0,0.125,0.125,False,"L4,F_fast"
boundary_tradeoff,0.0,0.75,1.0,0.1875,0.1875,False,"L4,F_fast"
boundary_tradeoff,0.0,1.0,1.0,0.25,0.25,False,"L4,F_fast"
boundary_tradeoff,0.25,0.0,1.0,-0.0625,-0.0625,False,"L0,L1,F_fast"
boundary_tradeoff,0.25,0.25,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
boundary_tradeoff,0.25,0.5,1.0,0.0625,0.0625,False,"L4,F_fast"
boundary_tradeoff,0.25,0.75,1.0,0.125,0.125,False,"L4,F_fast"
boundary_tradeoff,0.25,1.0,1.0,0.1875,0.1875,False,"L4,F_fast"
boundary_tradeoff,0.5,0.0,1.0,-0.125,-0.125,False,"L0,L1,F_fast"
boundary_tradeoff,0.5,0.25,1.0,-0.0625,-0.0625,True,"L0,L1,L2,L3,L4,F_fast"
boundary_tradeoff,0.5,0.5,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
boundary_tradeoff,0.5,0.75,1.0,0.0625,0.0625,False,"L4,F_fast"
boundary_tradeoff,0.5,1.0,1.0,0.125,0.125,False,"L4,F_fast"
boundary_tradeoff,0.75,0.0,1.0,-0.1875,-0.1875,False,"L0,L1,F_fast"
boundary_tradeoff,0.75,0.25,1.0,-0.125,-0.125,True,"L0,L1,L2,L3,F_fast"
boundary_tradeoff,0.75,0.5,1.0,-0.0625,-0.0625,True,"L0,L1,L2,L3,L4,F_fast"
boundary_tradeoff,0.75,0.75,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
boundary_tradeoff,0.75,1.0,1.0,0.0625,0.0625,False,"L4,F_fast"
boundary_tradeoff,1.0,0.0,1.0,-0.25,-0.25,False,"L0,L1,F_fast"
boundary_tradeoff,1.0,0.25,1.0,-0.1875,-0.1875,False,"L0,L1,L2,F_fast"
boundary_tradeoff,1.0,0.5,1.0,-0.125,-0.125,True,"L0,L1,L2,L3,L4,F_fast"
boundary_tradeoff,1.0,0.75,1.0,-0.0625,-0.0625,True,"L0,L1,L2,L3,L4,F_fast"
boundary_tradeoff,1.0,1.0,1.0,0.0,0.0,False,"L0,L1,L2,L4,F_fast"
